TITULO:,CATÁLOGO
INTERNATIONAL PRESS INC BOSTON,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"INTERNATIONAL PRESS OF BOSTON, INC.",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INTERNATIONAL SOCIETY FOR HORTICULTURAL SCIENCE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INTERNATIONAL WATER ASSOCIATION PUBLISHING,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INTERNATIONAL WATER MANAGEMENT INSTITUTE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INTERSCIENCE PUBLISHERS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INTERSENTIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
INTERVARSITY PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IOP PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IOS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IOS PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ISEAS - YUSOF ISHAK INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ISLAND PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ISRAEL ANTIQUITIES AUTHORITY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ISRAEL SOCIETY FOR THE PROMOTION OF CLASSICAL STUDIES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"ISTANBUL UNIV PRESS, ISTANBUL UNIV RECTORATE",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ISTE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ISTMO (GRUPO AKAL),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IUSTEL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IWA PUBLISHING,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
IWA PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
J A I PRESS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
J CRAMER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
J. VRIN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"J.M. BOSCH, EDITOR",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
JAGIELLONIAN UNIVERSITY PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JAI PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JAI PRESS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JAI-ELSEVIER LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JAI-ELSEVIER SCI BV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JAI-ELSEVIER SCIENCE INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JB METZLERSCHS VERLAGSBUCH-HANDLUNG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JENNY STANFORD PUBL PTE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHANN HEINRICH VON THUNEN INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHN BENJAMINS B V PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHN BENJAMINS PUBLISHING COMPANY,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
JOHN BENJAMINS PUBLISHING COMPANY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JOHN LIBBEY PUBLISHING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
JOHN WILEY & SONS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHN WILEY & SONS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHN WILEY & SONS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JOHN WILEY & SONS LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHN WILEY & SONS SINGAPORE PTE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOHN WILEY AND SONS INC,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JOHN WILEY AND SONS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JOHN WILEY AND SONS LTD,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JOHNS HOPKINS UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JONES & BARTLETT PUBLISHERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOSSEY-BASS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JOSSEY-BASS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
JOURNAL OF INDO-EUROPEAN STUDIES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
JOVENE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
JULIUS KUHN-INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JULIUSZ SCHAUDER CTR NONLINEAR STUDIES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
JUNTA DE ANDALUCÍA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
JURUÁ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
K G SAUR VERLAG KG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
K. ALBER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
K.G. SAUR VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KAPELUTZ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
KARGER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KARGER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
KARGER AG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KATZ EDITORES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
KLUWER ACADEMIC PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KLUWER ACADEMIC PUBLISHERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
KLUWER ACADEMIC PUBLISHERS (WOLTERS KLUWER),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
KLUWER ACADEMIC/PLENUM PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
KLUWER ACADEMIC/PLENUM PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KLUWER INTERNATIONAL LAW (WOLTERS KLUWER),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
KNJIZEVNI KRUG SPLIT,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"KOEBENHAVNS UNIVERSITET, GEOGRAFISK INSTITUT",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KOELTZ BOTANICAL BOOKS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
KOGAN PAGE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
KONGELIGE DANSKE GEOGRAFISKE SELSKAB/ROYAL DANISH GEOGRAPHICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
KONINKLIJK INST TAAL- LAND- ENVOLKENKUNDE (KITLV PRESS),<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
KRK EDICIONES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
KRONOS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
L´HARMATTAN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
L’ERMA DI BRETSCHENEIDER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LA CRUJÍA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LA ERGÁSTULA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LA ESFERA DE LOS LIBROS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LA LETTRE VOLEE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LA LEY (ARANZADI LA LEY / KARNOV GROUP),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LA OVEJA ROJA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LABORUM EDICIONES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LAERTES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LANDES BIOSCIENCE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LANDLINKS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LAROUSSE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LARS MULLER PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LATERZA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LATVIAN ACAD SCIENCES-LAS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LAWRENCE & WISHART,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LAWRENCE ERLBAUM ASSOC PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LAWRENCE ERLBAUM ASSOCIATES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LE SEUIL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"LEARNING SOLUTIONS, HIGHER EDUCATION SERVICE DELIVERY",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LEFEBVRE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"LEFT COAST PRESS, INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LEGENDA-EUROPEAN HUMANITIES RESEARCH CENTRE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LEGENDA-MODERN HUMANITIES RES ASSN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LEIDEN UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LEIDEN UNIVERSITY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LEO S. OLSCHKI EDITORE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LES BELLES LETTRES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LEUVEN UNIVERSITY PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LEUVEN UNIVERSITY PRESS – KU LEUVEN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LEX NOVA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LEXINGTON BOOKS (ROWMAN & LITTLEFIELD),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
L'HARMATTAN,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LIBRAIRIE DROZ S.A.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LIBRAIRIE DROZ SA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LIBRAIRIE GÉNÉRALE DE DROIT ET DE JURISPRUDENCE (LGDJ),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LIBRARY STRAHOV ROYAL CANONIA PREMONSTRATESIANS STRAHOV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LIBRERÍA MUSICALE ITALIANA (LIM),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LIBROS PÓRTICO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LIGUORI EDITORE SRL,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LINCOLN INST LAND POLICY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LINCOM,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LIPPINCOTT WILLIAMS & WILKINS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LIT VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LIT VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LITHUANIAN UNIV EDUCATIONAL SCIENCES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LONDON CHEMICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LOS LIBROS DE LA CATARATA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LOS LIBROS DE LA FRONTERA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LOUISIANA STATE UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LOZZI ROMA S A S,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LUND UNIV DEPT LINGUISTICS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
LUNDS UNIVERSITET,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
LUNWERG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LUNWERG EDITORES  (GRUPO PLANETA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
LYNX HOUSE PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
M E SHARPE INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MACMILLAN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MACN-MUSEO ARGENTINO CIENCIAS NATURALES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MAGNES PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MAGNOLIA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"MANAAKI WHENUA PRESS, LANDCARE RESEARCH",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MANCHESTER UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MANCHESTER UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MANEY PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MANN GEBR VERLAG GMBH & CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MANOHAR PUBLICATIONS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MANSELL PUBLISHING,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MANSON PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MARCEL DEKKER INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MARCIAL PONS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MARKETING SCIENCE INSTITUTE (MSI),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MARKUS WIENER PUBLISHER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MARSILIO EDITORI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MARTIN STRIZ PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MARTINUS NIJHOFF,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MARTINUS NIJHOFF PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MARTINUS NIJHOFF PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MARY ANN LIEBERT INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MASARYK UNIVERSITY-UNIVERSITY PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MASARYKOVA UNIV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MATERIALS RESEARCH FORUM LLC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"MATFYZPRESS PUBL HOUSE, FAC MATH & PHYSICS",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MATHEMATICAL ASSOC AMERICA SERVICE CENTER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MAX NIEMEYER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MAX RUBNER-INSTITUT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MCFARLAND BOOKS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MCGILL-QUEEN’S UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MCGILL-QUEENS UNIV PR,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MCGRAW HILL,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MCGRAW HILL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MEDIEVAL & RENAISSANCE TEXT & STUDIES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MEDIEVAL INST PUBLICATIONS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MEDIEVAL INSTITUTE PUBLICATIONS (WESTERN MICHIGAN UNIVERSITY),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
METHUEN DRAMA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"METROPOLITNI UNIV PRAHA, OPS",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MICHIGAN STATE UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MICHIGAN UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MIMESIS INTERNATIONAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MINERALOGICAL SOC AMER & GEOCHEMICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MINERALOGICAL SOCIETY GREAT BRITAIN & IRELAND,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MINERALOGICAL SOCIETY OF AMERICA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MINISTERE DES AFFAIRES CULTURELLES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"MINISTERIO DE EDUCACIÓN, CULTURA Y DEPORTE (MINISTERIO DE CULTURA Y DEPORTE / MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL)",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"MINISTERIO DE EMPLEO Y SEGURIDAD SOCIAL (MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES)",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MIÑO Y DÁVILA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MIS RESEARCH CENTER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MIT PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MIT PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MODERN HUMANITIES RESEARCH ASSOCIATION,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
